"('date', '')","('close', 'rr.l')","('high', 'rr.l')","('low', 'rr.l')","('open', 'rr.l')","('volume', 'rr.l')"
2024-08-21,492.4591979980469,496.4998483231698,488.3595315665253,493.85907590965064,67459534
2024-08-22,497.55877685546875,498.4586961818745,492.9591518910012,493.7590734000175,9863277
2024-08-23,498.8586730957031,499.35863168379564,492.9591678592215,495.858921567148,14711541
2024-08-27,494.1590576171875,499.95856476241187,489.6114303620619,499.95856476241187,74620615
2024-08-28,500.1585693359375,500.1585693359375,492.75915803313126,496.8588244404848,23591378
2024-08-29,500.1585693359375,502.0104056398672,497.05882007598484,501.1584864833384,22024650
2024-08-30,496.3588562011719,501.7584025889811,494.05905901295375,501.1584767242627,22664760
2024-09-02,464.2615051269531,499.4585998445398,455.7622096341031,499.4585998445398,34847946
2024-09-03,472.2608642578125,486.3597023704352,469.66110404396665,474.6606898629782,36903479
2024-09-04,480.6601867675781,484.0598989785047,460.36185029004474,460.66184374442196,25431717
2024-09-05,477.86041259765625,481.46012053645296,464.36153071345666,477.5604496506943,31700270
2024-09-06,462.66168212890625,476.7604896725885,461.23379139199955,475.260613932618,19921523
2024-09-09,475.56060791015625,476.560525071231,463.061643396722,465.56143629940885,19779547
2024-09-10,474.7606506347656,479.360275627977,471.5609340636554,473.76073348472187,22363854
2024-09-11,479.060302734375,481.1601348088435,471.9608850135762,475.2605993341345,17057528
2024-09-12,493.7590637207031,494.95897647575487,483.95988810962695,487.3596002288749,56978172
2024-09-13,501.1584777832031,501.1584777832031,488.4595180256467,492.3591887298017,22317199
2024-09-16,495.7589111328125,500.0585731900412,492.8591574986651,496.75882828355645,15217817
2024-09-17,494.958984375,501.3584479689598,489.05947935111595,495.75890588110144,14484780
2024-09-18,495.9588928222656,497.15880557543585,491.15930283968265,492.4591828930763,42135092
2024-09-19,524.9564819335938,526.1943553900506,498.8496373608709,500.5585105905469,78255862
2024-09-20,526.1564331054688,527.9562718261285,517.2211380183458,518.7570215504105,79866788
2024-09-23,530.1560668945312,532.8378514339281,521.7567387114937,523.3566427145042,36149488
2024-09-24,526.5563354492188,535.3076243167197,520.3568980766778,532.1559079868049,15285783
2024-09-25,531.7559204101562,531.9999187443486,520.5568362874363,521.9567446890633,15307529
2024-09-26,526.75634765625,535.9165994998601,525.7564304962988,534.7556849358592,22057448
2024-09-27,524.9564819335938,528.0022499520296,518.3570534298959,518.9569792829242,21008974
2024-09-30,527.1563110351562,528.6461777598237,521.156808392943,521.7567342451256,44755384
2024-10-01,524.7565307617188,535.7056362327863,524.5565351170674,525.5564523102223,41290181
2024-10-02,518.7570190429688,528.156264915573,513.9574288010415,523.7566049262474,30582680
2024-10-03,533.3558349609375,533.7557652049315,520.3569119441852,520.5568465511324,60925009
