"('date', '')","('close', 'ezj.l')","('high', 'ezj.l')","('low', 'ezj.l')","('open', 'ezj.l')","('volume', 'ezj.l')"
2024-06-21,448.790771484375,453.78955492819773,443.192127925263,448.790771484375,8446048
2024-06-24,455.0892639160156,457.5476500302295,445.9914718065623,447.9909852147871,2990417
2024-06-25,463.4872131347656,463.4872131347656,449.3906375349749,451.5901144833676,7321337
2024-06-26,457.6885986328125,463.28724217627274,449.69054514505586,462.88734560391543,5760166
2024-06-27,452.789794921875,461.38770848428436,451.4901234400648,455.38916839564797,2834863
2024-06-28,457.5886535644531,461.2877350465051,448.4908614969876,452.08999171721223,3660568
2024-07-01,449.190673828125,464.3869878966181,449.190673828125,461.68763259821696,6691348
2024-07-02,444.0919494628906,453.18971125255075,444.0919494628906,447.79103103941344,3394092
2024-07-03,462.787353515625,463.2872318474652,442.0924088835321,446.2913685648985,4176532
2024-07-04,458.6883544921875,466.78638973597833,457.088768205641,461.78760631513865,3988113
2024-07-05,465.2867736816406,471.1853322567127,455.8890665693042,460.78786841944356,3032791
2024-07-08,471.4852600097656,476.6839764795862,455.88904957999824,463.2872429667659,2865149
2024-07-09,465.2867736816406,474.68448079397706,462.4874670558907,470.88541744329444,6993503
2024-07-10,478.1836242675781,481.8827363147194,462.4874621584398,466.98636737299637,3256399
2024-07-11,493.7798156738281,493.8797974433573,477.38381230607916,480.6829971294738,4957605
2024-07-12,492.08026123046875,502.0778282566046,484.8820007675896,498.47869802516504,3674425
2024-07-15,492.7800598144531,497.7788431976595,483.8822314943763,489.4808749855979,2091572
2024-07-16,490.7805480957031,495.7793314955578,480.4830664960635,489.4808766158019,2530903
2024-07-17,486.48162841796875,493.279961942942,486.48162841796875,490.1807099938512,2516561
2024-07-18,468.5859680175781,489.78079132285114,467.7861443676615,487.08146659353304,4652198
2024-07-19,458.8883361816406,467.9861284694077,455.98904778492033,465.68666969878853,5019496
2024-07-22,426.1962585449219,458.66836634754685,418.89804701811823,427.8958570972664,17358786
2024-07-23,427.595947265625,431.49999590824297,421.59740714318076,427.89586206768604,6823468
2024-07-24,440.5927734375,469.275794529974,440.5927734375,460.0880283593336,8556386
2024-07-25,457.5886535644531,457.5886535644531,430.99511925576655,436.49378110300745,11822314
2024-07-26,463.4872131347656,463.4872131347656,452.98976776409324,454.0895062382896,6513246
2024-07-29,454.2894287109375,468.5859675228068,454.2894287109375,465.7866305162833,14091354
2024-07-30,458.6883544921875,462.28748465722265,451.4541226920662,452.6898143871799,1692088
2024-07-31,450.4903869628906,463.6871574436676,450.4903869628906,456.08903073207813,3469029
