"('date', '')","('close', 'bp.l')","('high', 'bp.l')","('low', 'bp.l')","('open', 'bp.l')","('volume', 'bp.l')"
2024-05-30,485.0391845703125,491.8362181286631,481.8405625991358,484.7892931820743,59508416
2024-05-31,487.9378662109375,488.63757422464454,481.8405108913873,485.03913251931033,49747460
2024-06-03,480.99090576171875,494.1351853015742,480.2412316757462,491.38638031967486,51535949
2024-06-04,462.6988525390625,472.79446994315185,460.69972158792865,472.094761908528,59374020
2024-06-05,460.1999206542969,466.34724198511094,459.90006322520986,463.6983996804547,37366840
2024-06-06,462.9487609863281,465.39770869353674,457.4011845940063,462.74886618643103,24191464
2024-06-07,462.49896240234375,466.997007087675,460.1499774102516,463.1486738671391,28556083
2024-06-10,470.6454162597656,470.99527028152886,459.7001619613198,463.39856646970077,31405955
2024-06-11,468.146484375,473.5940977721944,465.69753682199405,470.7953267153162,36666931
2024-06-12,464.6979675292969,474.3437679363515,463.4485107277531,470.34550617141144,24703041
2024-06-13,459.8001403808594,465.3477168293791,457.5890958321463,464.1982225792908,34613400
2024-06-14,459.8001403808594,463.14869098232293,458.1008667907678,460.09999783590195,24629988
2024-06-17,460.4498291015625,461.94917731127407,457.30120396203165,459.7501515729542,21606961
2024-06-18,466.64715576171875,467.79664997596706,461.34944035469925,461.7492909547143,32364208
2024-06-19,466.1473693847656,468.94614053716083,465.21677416355453,465.7975153646368,22876709
2024-06-20,470.2955627441406,472.69451381774235,463.3485703913576,466.34726685943923,49565069
2024-06-21,470.79534912109375,473.1443341400775,464.3481394632496,468.1964727278419,86474396
2024-06-24,473.9439697265625,474.893569141273,463.1986407375404,466.3972624987904,41705397
2024-06-25,473.6940612792969,480.6410533676919,472.7444924031337,475.49329739426145,32854319
2024-06-26,470.34552001953125,478.29207771304226,470.34552001953125,474.3437819021899,26737597
2024-06-27,472.59454345703125,476.9426593656689,467.49678394792244,471.79490328031704,20914870
2024-06-28,474.9934997558594,479.39158150271965,474.04390040519274,476.0929973143376,34507960
2024-07-01,478.2920837402344,481.99048823002596,472.09476554229104,479.0917239251158,20833173
2024-07-02,484.4894104003906,490.0359800851531,475.393358242981,482.6402081231962,28157656
2024-07-03,482.4402770996094,487.288175821466,481.4907081877788,484.78926209930466,40487574
2024-07-04,490.0869445800781,490.0869445800781,479.5415409261086,483.2899114909297,20860189
2024-07-05,481.990478515625,493.0356646813153,481.7905532212752,489.1873315474604,68684950
2024-07-08,474.4437561035156,479.7414715296359,474.4437561035156,479.4915801558845,33327293
2024-07-09,454.0526123046875,463.56446848079014,451.05391591082054,459.8001137262658,94514575
2024-07-10,454.4524230957031,458.30075615666055,448.2051390695764,451.3037980473985,59103197
2024-07-11,451.6036682128906,457.20124095899945,448.10518905961226,452.6032336852559,27230410
2024-07-12,453.3029479980469,459.90008630792283,448.85486938266746,454.8022962273679,24153584
2024-07-15,449.2047119140625,456.0517414203604,444.10692196389755,447.2555775683904,22978638
2024-07-16,446.40594482421875,451.9035549070187,442.80750303279535,448.10518781994836,23748366
2024-07-17,452.5033264160156,454.2665370669466,445.6662713653986,446.60586540141765,21130713
2024-07-18,458.8005676269531,462.69886700265835,449.7545119920271,457.8010021201406,24358024
2024-07-19,457.1012878417969,467.09694277386603,449.7545058701804,457.6010705884003,23647860
